crop,tissue,prep,region_group,anatomy,native_voxel_nm,analysis_voxel_nm,run,bm_sensitivity.bm_voxels,bm_sensitivity.ecs_fraction_bm_excluded,bm_sensitivity.ecs_fraction_with_bm,ecs_width.full_percentiles_nm_p10,ecs_width.full_percentiles_nm_p25,ecs_width.full_percentiles_nm_p50,ecs_width.full_percentiles_nm_p75,ecs_width.full_percentiles_nm_p90,ecs_width.n_ecs_voxels,ecs_width.n_narrow_voxels,ecs_width.narrow_fraction,ecs_width.narrow_mean_nm,ecs_width.narrow_percentiles_nm_p10,ecs_width.narrow_percentiles_nm_p25,ecs_width.narrow_percentiles_nm_p50,ecs_width.narrow_percentiles_nm_p75,ecs_width.narrow_percentiles_nm_p90,ecs_width.narrow_std_nm,membrane_topology.abs_curvature_p50_nm-1,membrane_topology.abs_curvature_p90_nm-1,membrane_topology.abs_deviation_p50_nm,membrane_topology.abs_deviation_p90_nm,membrane_topology.curvature_p10_nm-1,membrane_topology.curvature_p50_nm-1,membrane_topology.curvature_p90_nm-1,membrane_topology.deviation_p10_nm,membrane_topology.deviation_p50_nm,membrane_topology.deviation_p90_nm,membrane_topology.ecs_frac,membrane_topology.frac_concave,membrane_topology.frac_convex,membrane_topology.frac_indent,membrane_topology.frac_protrusion,membrane_topology.gap_bounded_frac,membrane_topology.gap_p10_nm,membrane_topology.gap_p50_nm,membrane_topology.gap_p90_nm,membrane_topology.n_curvature_kept,membrane_topology.n_deviation_kept,membrane_topology.n_gap_kept,membrane_topology.patch_faces,sa_v.cell_density_per_um3,sa_v.n_cells_passing,sa_v.n_cells_total,sa_v.sa_v_ecs_per_nm,sa_v.total_cell_cell_sa_nm2,sa_v.total_cell_volume_nm3,sa_v.total_ecs_facing_sa_nm2,sa_v.total_outer_sa_nm2,topology.curvature_abs_median_per_nm,topology.curvature_abs_p25_per_nm,topology.curvature_abs_p75_per_nm,topology.curvature_iqr_per_nm,topology.curvature_signed_median_per_nm,topology.curvature_signed_p10_per_nm,topology.curvature_signed_p90_per_nm,topology.curvature_std_per_nm,topology.fraction_concave,topology.fraction_convex,topology.fraction_flat,topology.indentation_count,topology.indentation_density_per_um2,topology.n_cells_considered,topology.n_cells_included,topology.protrusion_count,topology.protrusion_density_per_um2,topology.roughness_rms_nm_p120,topology.roughness_rms_nm_p30,topology.roughness_rms_nm_p60,topology.total_ecs_surface_nm2,volume_fraction.cell_fraction,volume_fraction.cell_volume_um3,volume_fraction.cell_voxels,volume_fraction.ecs_bm_voxels,volume_fraction.ecs_fraction,volume_fraction.ecs_primary_voxels,volume_fraction.ecs_volume_um3,volume_fraction.ecs_voxels,volume_fraction.total_volume_um3,volume_fraction.total_voxels,voronoi_gap.contact_fractions_p160,voronoi_gap.contact_fractions_p20,voronoi_gap.contact_fractions_p320,voronoi_gap.contact_fractions_p40,voronoi_gap.contact_fractions_p80,voronoi_gap.gap_mean_nm,voronoi_gap.gap_min_nm,voronoi_gap.gap_std_nm,voronoi_gap.n_boundary_faces,voronoi_gap.percentiles_nm_p10,voronoi_gap.percentiles_nm_p25,voronoi_gap.percentiles_nm_p50,voronoi_gap.percentiles_nm_p75,voronoi_gap.percentiles_nm_p90
crop1026,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,4.0,degradation,,,,6.928203230275509,16.0,32.49615361854384,59.464274989274024,89.17398723843182,38423632.0,38405274.0,0.9995222211164213,41.385136651961865,6.928203230275509,16.0,32.49615361854384,59.19459434779497,88.90444308357148,32.65808759629431,,,,,,,,,,,,,,,,,,,,,,,,4.340277777777778,30.0,48.0,0.01399140601513813,0.0,4441759744.0,62146464.0,14962080.0,0.004027297392933371,0.001922178696601864,0.006828015364208728,0.004905836667606864,0.0023086952291723464,-0.005442731704390849,0.008696596287969944,0.006759882257989655,0.2156695382566028,0.5246172143712456,0.2597132473721517,201.0,5.678331629325009,48.0,29.0,563.0,15.904978643333234,12.90426676618365,1.2131537450041598,4.167014987554678,35397721.21831728,,,,,,,,,,,0.7354378031880507,0.05251885166907955,0.9886830437638836,0.13221773945752355,0.40966514557552075,116.21171335145733,12.0,76.75741165229717,2099151.0,33.38883464895172,56.74181688223247,96.8998886412873,165.25297492672206,228.0663993849219
crop1026,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,8.0,degradation,,,,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,4805789.0,4803199.0,0.999461066642751,42.83779812331382,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,32.28108746073673,,,,,,,,,,,,,,,,,,,,,,,,4.340277777777778,30.0,48.0,0.013998352453225518,7680.0,4439589888.0,62146944.0,14945280.0,0.004505390048020787,0.002128012478482955,0.007826638149006531,0.0056986256705235765,0.0028970736443687164,-0.005099936030402419,0.010754383876151859,0.007588795774527556,0.1999555555420762,0.5645238863320636,0.23552055812585987,195.0,5.009286885868981,48.0,31.0,544.0,13.974625979039619,14.13710679522398,1.4053053420303627,4.695649487970887,38927696.58493468,,,,,,,,,,,0.7186502981025567,0.0,0.9873340666825864,0.08615222608035264,0.3702422009872812,122.88929310786338,24.0,75.43224149546468,510898.0,43.59591794226542,63.377408526555115,103.27181319605603,171.10066734650545,232.84668124753557
crop1026,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,16.0,degradation,,,,16.0,22.627416997969522,35.77708763999664,64.0,91.91300234460846,599129.0,598773.0,0.999405804092274,46.27112459914459,16.0,22.627416997969522,35.77708763999664,64.0,91.91300234460846,31.179931785199102,,,,,,,,,,,,,,,,,,,,,,,,4.340277777777778,30.0,48.0,0.013780923001783156,727808.0,4444794880.0,61253376.0,14962176.0,0.005060599122127258,0.002319237218298113,0.009048954967015884,0.006729717748717771,0.003029080654727088,-0.0059055282945227145,0.012842931189199065,0.008785612081793107,0.22056485013231708,0.5617832717455589,0.21765187812212428,189.0,4.724974329962162,48.0,31.0,554.0,13.849924755550465,14.853668286455076,1.7703953357357791,5.050770910958857,40000217.313670255,,,,,,,,,,,0.6859287935726318,0.0,0.9847414798496825,0.0,0.28523875858494235,134.66600165563173,48.0,72.95314414898274,123472.0,54.62741699796952,75.71281292110203,114.59644256269408,182.16263691415207,241.1370849898476
crop1026,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,8.0,matched,,,,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,4805789.0,4803199.0,0.999461066642751,42.83779812331382,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,32.28108746073673,,,,,,,,,,,,,,,,,,,,,,,,4.340277777777778,30.0,48.0,0.013998352453225518,7680.0,4439589888.0,62146944.0,14945280.0,0.004505390048020787,0.002128012478482955,0.007826638149006531,0.0056986256705235765,0.0028970736443687164,-0.005099936030402419,0.010754383876151859,0.007588795774527556,0.1999555555420762,0.5645238863320636,0.23552055812585987,195.0,5.009286885868981,48.0,31.0,544.0,13.974625979039619,14.13710679522398,1.4053053420303627,4.695649487970887,38927696.58493468,,,,,,,,,,,0.7186502981025567,0.0,0.9873340666825864,0.08615222608035264,0.3702422009872812,122.88929310786338,24.0,75.43224149546468,510898.0,43.59591794226542,63.377408526555115,103.27181319605603,171.10066734650545,232.84668124753557
crop1026,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,4.0,native,2871308.0,0.3292,0.3558,6.928203230275509,16.0,32.49615361854384,59.464274989274024,89.17398723843182,38423632.0,38405274.0,0.9995222211164213,41.385136651961865,6.928203230275509,16.0,32.49615361854384,59.19459434779497,88.90444308357148,32.65808759629431,0.0037513072602450848,0.010182795114815235,2.541949510574341,6.163601398468018,-0.0066943056881427765,0.0013353232061490417,0.007822218351066113,-4.139298915863037,1.0261777639389038,5.074738502502441,0.355,0.39621949213659424,0.6037805078634058,0.3830737502688614,0.6169262497311386,0.183,45.25483322143555,101.19288635253906,263.8787536621094,79037.0,79037.0,67362.0,162776.0,4.340277777777778,30.0,48.0,0.01399140601513813,0.0,4441759744.0,62146464.0,14962080.0,0.004027194902601169,0.0019222760060194743,0.006827488250893893,0.004905212244874418,0.0023087592190424873,-0.005441495210498562,0.008695768917998756,0.006741172641397882,0.2156472918488491,0.5246229081091783,0.25972980004197277,201.0,5.678337473397672,48.0,29.0,563.0,15.904995012551689,12.904247689015303,1.2131531241588027,4.167011075437334,35397684.78743309,0.6442256296296296,4.452887552,69576368.0,2871308.0,0.35577437037037035,35552324.0,2.459112448,38423632.0,6.912,108000000.0,0.7354378031880507,0.05251885166907955,0.9886830437638836,0.13221773945752355,0.40966514557552075,116.21171335145733,12.0,76.75741165229717,2099151.0,33.38883464895172,56.74181688223247,96.8998886412873,165.25297492672206,228.0663993849219
crop1027,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,4.0,degradation,,,,8.0,18.33030277982336,40.0,70.8801805866774,117.37120600896968,47953778.0,47123116.0,0.9826778611687279,49.886561992389176,8.0,18.33030277982336,39.395431207184416,68.58571279792899,109.2520022699813,41.19007908760667,,,,,,,,,,,,,,,,,,,,,,,,2.7488425925925926,19.0,27.0,0.01697291282570416,0.0,3833761280.0,65070096.0,11442192.0,0.0036884239467659986,0.0016965563949764304,0.006498976341790653,0.004802419946814223,0.001972261293090292,-0.005089983838641178,0.008385590485616783,0.006571868182048163,0.2107254282560976,0.4976851073421063,0.2915894644017972,235.0,6.230232063619847,27.0,17.0,554.0,14.687440694661257,11.831830979915551,1.1434382412101158,3.850599405518656,37719301.23955317,,,,,,,,,,,0.7332945534702875,0.045089833474243966,0.959062123927568,0.13673905312762735,0.3609056589554401,125.05158367147367,12.0,85.47034147568263,2123095.0,33.14153314314416,59.712812921102035,114.40588203494178,163.16129506733344,230.20334871928353
crop1027,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,8.0,degradation,,,,11.313708498984761,19.595917942265423,40.792156108742276,72.0,118.92854997854805,6006917.0,5894642.0,0.9813090475530126,51.304296810819395,11.313708498984761,19.595917942265423,40.0,70.19971509913698,110.85125168440814,40.758325414655474,,,,,,,,,,,,,,,,,,,,,,,,2.7488425925925926,19.0,27.0,0.01696863742743577,0.0,3826722816.0,64934272.0,11424512.0,0.004142933231066142,0.0018917846905547962,0.007445389923905197,0.005553605233350401,0.002505235023732829,-0.004833432711441273,0.010249194472166757,0.007360982590350486,0.19836846403836336,0.5382540912496426,0.26337744471199337,215.0,5.223674154064573,27.0,20.0,530.0,12.876964193740575,12.928075296737033,1.3228531628306692,4.3198074654613166,41158769.41380564,,,,,,,,,,,0.7105249070859397,0.0,0.9566362816022513,0.10173324870379151,0.3327107199119037,130.56631513163848,24.0,84.82324344075597,523064.0,39.74495028054933,65.64607201529357,120.45338528679123,167.19595949289334,235.6546583584077
crop1027,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,16.0,degradation,,,,16.0,22.627416997969522,45.254833995939045,73.32121111929344,121.85236969382254,751190.0,736235.0,0.9800915880136849,54.75118703300783,16.0,22.627416997969522,45.254833995939045,71.55417527999327,113.13708498984761,39.811086147498656,,,,,,,,,,,,,,,,,,,,,,,,2.7488425925925926,19.0,27.0,0.016816555334569286,381952.0,3824406528.0,64313344.0,11413504.0,0.004801568945260749,0.0021897508375454972,0.00861394211598631,0.006424191278440813,0.0026646177857330765,-0.005840285672364464,0.01224253838652146,0.008745695313632654,0.22838880035023518,0.5418080456250199,0.2298031540247451,225.0,5.333241171452813,27.0,21.0,568.0,13.463471046156434,13.556009305590907,1.646499582800805,4.680572914038869,42188229.02747306,,,,,,,,,,,0.6433843499376937,0.0,0.9514649966450458,0.0,0.25492858740454355,143.7760506654844,48.0,82.4058549951846,125188.0,54.62741699796952,79.48990056109866,133.5553385958069,176.0,246.71259264344016
crop1027,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,8.0,matched,,,,11.313708498984761,19.595917942265423,40.792156108742276,72.0,118.92854997854805,6006917.0,5894642.0,0.9813090475530126,51.304296810819395,11.313708498984761,19.595917942265423,40.0,70.19971509913698,110.85125168440814,40.758325414655474,,,,,,,,,,,,,,,,,,,,,,,,2.7488425925925926,19.0,27.0,0.01696863742743577,0.0,3826722816.0,64934272.0,11424512.0,0.004142933231066142,0.0018917846905547962,0.007445389923905197,0.005553605233350401,0.002505235023732829,-0.004833432711441273,0.010249194472166757,0.007360982590350486,0.19836846403836336,0.5382540912496426,0.26337744471199337,215.0,5.223674154064573,27.0,20.0,530.0,12.876964193740575,12.928075296737033,1.3228531628306692,4.3198074654613166,41158769.41380564,,,,,,,,,,,0.7105249070859397,0.0,0.9566362816022513,0.10173324870379151,0.3327107199119037,130.56631513163848,24.0,84.82324344075597,523064.0,39.74495028054933,65.64607201529357,120.45338528679123,167.19595949289334,235.6546583584077
crop1027,Kidney,Chemical,Glomerular,Glomerular interstitium,4.0,4.0,native,6414754.0,0.3846,0.444,8.0,18.33030277982336,40.0,70.8801805866774,117.37120600896968,47953778.0,47123116.0,0.9826778611687279,49.886561992389176,8.0,18.33030277982336,39.395431207184416,68.58571279792899,109.2520022699813,41.19007908760667,0.0036208098754286766,0.009766689501702785,2.46026349067688,5.909979343414307,-0.004946982953697443,0.0018208780093118548,0.008562043309211731,-3.090468406677246,1.4043216705322266,5.380181789398193,0.4451,0.35336233605702083,0.6466376639429792,0.336715200744867,0.663284799255133,0.224,32.0,73.32121276855469,167.80941772460938,62293.0,62293.0,50630.0,129021.0,2.7488425925925926,19.0,27.0,0.01697291282570416,0.0,3833761280.0,65070096.0,11442192.0,0.0036883756240264952,0.0016964885846046853,0.006498551156266714,0.004802062571662029,0.0019722552569243286,-0.005089580692127789,0.008385196587619602,0.006557077537065376,0.21070744275435946,0.49769305509649653,0.29159950214914526,234.0,6.203718811564393,27.0,17.0,554.0,14.687436844472966,11.83183206985709,1.1434380793456105,3.850600032617791,37719311.127351396,0.5559835370370371,3.842958208,60046222.0,6414754.0,0.444016462962963,41539024.0,3.069041792,47953778.0,6.912,108000000.0,0.7332945534702875,0.045089833474243966,0.959062123927568,0.13673905312762735,0.3609056589554401,125.05158367147367,12.0,85.47034147568263,2123095.0,33.14153314314416,59.712812921102035,114.40588203494178,163.16129506733344,230.20334871928353
